Latitude: 42.7257  Longitude: -84.4777,,,,,,,,,,,,,
X & Y on Lambert Conformal Conic: 1205230.14 136370.46,,,,,,,,,,,,,
Tile: 11928,,,,,,,,,,,,,
Elevation: 260 meters,,,,,,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),mean_temp,gdd_tf,gdd,temp_diff,spring_precip
2015,19,33487.9,1.14,77.68,9.35,0.44,-2,527.22,-0.78,FALSE,0,2.44,56.51
2015,20,33594.21,1.53,89.34,8.34,-0.78,-3.6,468.13,-2.19,FALSE,0,2.82,56.51
2015,21,33703.31,2.64,57.76,7.76,-2.29,-4.63,433.21,-3.46,FALSE,0,2.34,56.51
2015,22,33815.15,0,191.08,7.76,-0.73,-7.21,355.79,-3.97,FALSE,0,6.48,56.51
2015,23,33929.66,0,215.45,7.76,0.48,-7.03,360.51,-3.275,FALSE,0,7.51,56.51
2015,24,34046.78,0,222.91,7.34,2.88,-4.99,421.5,-1.055,FALSE,0,7.87,56.51
2015,25,34166.44,0,122.82,7.34,-2.46,-6.23,383.46,-4.345,FALSE,0,3.77,56.51
2015,26,34288.58,0,261.43,7.34,-3.67,-13.3,219.23,-8.485,FALSE,0,9.63,56.51
2015,27,34413.13,0,265.51,7.34,-3.33,-13.08,223.28,-8.205,FALSE,0,9.75,56.51
2015,28,34540.03,0.7,305.63,8.04,-0.34,-14.01,206.84,-7.175,FALSE,0,13.67,56.51
2015,29,34669.21,1.18,288.06,9.22,0.15,-11.02,263.56,-5.435,FALSE,0,11.17,56.51
2015,30,34800.61,0,205.37,9.22,-3.63,-9.98,286.45,-6.805,FALSE,0,6.35,56.51
2015,31,34934.18,2.68,226.48,11.9,0.3,-11.72,249.2,-5.71,FALSE,0,12.02,56.51
2015,32,35069.84,17.35,111.14,29.25,-4.36,-8.55,320.55,-6.455,FALSE,0,4.19,56.51
2015,33,35207.53,0,222.61,29.25,-8.69,-15.25,186.74,-11.97,FALSE,0,6.56,56.51
2015,34,35347.19,2.01,240.91,31.26,-3.59,-16.08,174.34,-9.835,FALSE,0,12.49,56.51
2015,35,35488.76,0.51,303.69,31.76,-3.25,-14.09,205.63,-8.67,FALSE,0,10.84,56.51
2015,36,35632.18,0,337.98,31.76,-7.56,-21.57,108.86,-14.565,FALSE,0,14.01,56.51
2015,37,35777.39,0,350.47,31.76,-2,-18.35,143.89,-10.175,FALSE,0,16.35,56.51
2015,38,35924.33,0,324.91,31.76,3.99,-8.94,310.93,-2.475,FALSE,0,12.93,56.51
2015,39,36072.95,0,212.58,31.03,2.28,-4.26,445.45,-0.99,FALSE,0,6.54,56.51
2015,40,36223.18,0,134.47,31.03,-5.44,-9.16,305.62,-7.3,FALSE,0,3.72,56.51
2015,41,36374.97,0,357.54,31.03,-1.97,-16.72,165.27,-9.345,FALSE,0,14.75,56.51
2015,42,36528.27,0,342.66,31.03,-0.18,-13.12,222.56,-6.65,FALSE,0,12.94,56.51
2015,43,36683.01,0,243,31.03,-7.85,-14.87,192.7,-11.36,FALSE,0,7.02,56.51
2015,44,36839.16,0.99,362.34,32.02,-6.16,-19.69,128.28,-12.925,FALSE,0,13.53,56.51
2015,45,36996.65,0.63,339.95,32.66,-6.94,-17.92,149.29,-12.43,FALSE,0,10.98,56.51
2015,46,37155.44,0,293.53,32.66,-16.52,-24.77,81.89,-20.645,FALSE,0,8.25,56.51
2015,47,37315.46,0,380.84,32.66,-11.84,-25.54,76.31,-18.69,FALSE,0,13.7,56.51
2015,48,37476.69,0.55,379.72,33.2,-6.19,-19.75,127.59,-12.97,FALSE,0,13.56,56.51
2015,49,37639.06,0,289.04,33.2,-9.54,-17.55,154.04,-13.545,FALSE,0,8.01,56.51
2015,50,37802.53,0,295.7,33.2,-14.95,-23.17,94.49,-19.06,FALSE,0,8.22,56.51
2015,51,37967.05,0,415.23,33.2,-9.61,-28.13,60.08,-18.87,FALSE,0,18.52,56.51
2015,52,38132.58,0,415.42,33.2,-2.26,-20.82,116.27,-11.54,FALSE,0,18.56,56.51
2015,53,38299.08,0,278.81,33.2,-4.41,-12.46,234.83,-8.435,FALSE,0,8.05,56.51
2015,54,38466.5,0,392.89,33.2,-10.88,-25.01,80.11,-17.945,FALSE,0,14.13,56.51
2015,55,38634.79,1.22,406.96,34.42,-5.19,-20.94,115.09,-13.065,FALSE,0,15.75,56.51
2015,56,38803.92,0.72,362.07,35.14,-6.11,-18.01,148.11,-12.06,FALSE,0,11.9,56.51
2015,57,38973.85,0.47,277.13,35.61,-10.57,-18.45,142.71,-14.51,FALSE,0,7.88,56.51
2015,58,39144.54,0,434.73,35.61,-7.27,-25.18,78.87,-16.225,FALSE,0,17.91,56.51
2015,59,39315.95,0.38,432.64,35.99,-5.45,-22.76,98.07,-14.105,FALSE,0,17.31,56.51
2015,60,39488.03,0,409.45,35.99,-3.05,-17.87,149.96,-10.46,FALSE,0,14.82,56.51
2015,61,39660.77,0,375.44,35.99,-0.35,-12.67,230.79,-6.51,FALSE,0,12.32,56.51
2015,62,39834.11,6.67,249.2,42.65,0.96,-9.21,304.29,-4.125,FALSE,0,10.17,56.51
2015,63,40008.02,0,244.6,42.65,-1.03,-7.9,337.14,-4.465,FALSE,0,6.87,56.51
2015,64,40182.47,0,352.41,42.65,-7.62,-18.15,146.35,-12.885,FALSE,0,10.53,56.51
2015,65,40357.42,0,425.33,42.65,-3.89,-18.53,141.73,-11.21,FALSE,0,14.64,56.51
2015,66,40532.85,0,473.13,42.65,6.17,-14.51,198.53,-4.17,FALSE,0,20.68,56.51
2015,67,40708.71,0,384.89,42.63,6.24,-5.95,391.82,0.145,FALSE,0,12.19,56.51
2015,68,40884.99,0,414.33,42.27,8.71,-5.14,416.94,1.785,FALSE,0,13.85,56.51
2015,69,41061.63,0,397.73,41.43,8.89,-3.99,454.57,2.45,FALSE,0,12.88,56.51
2015,70,41238.62,0,372.36,39.41,10.62,-1.19,560.01,4.715,FALSE,0,11.81,56.51
2015,71,41415.93,0,372.06,38.09,8.6,-2.86,494.9,2.87,FALSE,0,11.46,56.51
2015,72,41593.51,0,453.06,36.68,14.13,-2.65,493.92,5.74,FALSE,0,16.78,56.51
2015,73,41771.36,0,297.83,34.3,8.2,-0.33,596.03,3.935,FALSE,0,8.53,56.51
2015,74,41949.42,0,407.88,32.37,11.77,-1.4,551.26,5.185,FALSE,0,13.17,56.51
2015,75,42127.69,0,460.73,28.93,19.86,2.19,646.69,11.025,TRUE,1.025,17.67,56.51
2015,76,42306.12,0,262.32,26.6,6.82,-0.46,590.38,3.18,FALSE,1.025,7.28,56.51
2015,77,42484.69,0,422.33,26.12,8.62,-4.86,425.68,1.88,FALSE,1.025,13.48,56.51
2015,78,42663.37,0,384.95,25.69,6.4,-4.98,421.92,0.71,FALSE,1.025,11.38,56.51
2015,79,42842.14,0,444.51,24.6,11.34,-3.39,465.15,3.975,FALSE,1.025,14.73,56.51
2015,80,43020.96,0,401.47,23.15,9.8,-2.55,506.33,3.625,FALSE,1.025,12.35,56.51
2015,81,43199.8,0,370.32,23.15,3.24,-7.2,355.9,-1.98,FALSE,1.025,10.44,56.51
2015,82,43378.65,0,295.71,23.15,0.57,-7.03,360.59,-3.23,FALSE,1.025,7.6,56.51
2015,83,43557.47,1.46,488.45,24.61,6.59,-9.62,273,-1.515,FALSE,1.025,16.21,56.51
2015,84,43736.24,3.56,355.39,28.16,8.41,-6.69,370.35,0.86,FALSE,1.025,15.1,56.51
2015,85,43914.92,0,205.62,25.67,4.96,-0.07,607.46,2.445,FALSE,1.025,5.03,56.51
2015,86,44093.49,0,254.19,25.67,-1.77,-7.84,338.71,-4.805,FALSE,1.025,6.07,56.51
2015,87,44271.92,0,464.98,25.67,2.17,-11.21,253.6,-4.52,FALSE,1.025,13.38,56.51
2015,88,44450.19,0.58,512.54,26.26,6.77,-9.42,230.06,-1.325,FALSE,1.025,16.19,56.51
2015,89,44628.25,7.12,377.69,24.99,12.79,-2.98,405.55,4.905,FALSE,1.025,15.77,56.51
2015,90,44806.1,0,352.65,22.27,9.25,0.46,576.25,4.855,FALSE,1.025,8.79,56.51
2015,91,44983.69,0,555.35,21.05,17.93,-3.08,306.08,7.425,FALSE,1.025,21.01,56.51
2015,92,45160.99,3.46,376.8,18.35,16.32,0.43,517.41,8.375,FALSE,1.025,15.89,56.51
2015,93,45337.98,0.93,345.28,14.92,11,2.16,642.11,6.58,FALSE,1.025,8.84,56.51
2015,94,45514.63,0,522.92,14.81,10.91,-5.73,261.15,2.59,FALSE,1.025,16.64,56.51
2015,95,45690.9,0,518.95,13.25,14.08,-2.29,304.87,5.895,FALSE,1.025,16.37,56.51
2015,96,45866.77,0,531.71,10.73,17.23,0,322.69,8.615,FALSE,1.025,17.23,56.51
2015,97,46042.19,2.98,321.71,7.9,12.32,0.74,524.72,6.53,FALSE,1.025,11.58,56.51
2015,98,46217.15,5.71,181.63,4.53,7.74,2.01,706.05,4.875,FALSE,1.025,5.73,56.51
2015,99,46391.6,7.7,392.74,0.97,19.16,2.48,510.93,10.82,TRUE,1.845,16.68,56.51
2015,100,46565.51,1.5,360.31,0,14.48,4.11,668.14,9.295,FALSE,1.845,10.37,56.51
2015,101,46738.86,0,464.08,0,15.51,0,430.18,7.755,FALSE,1.845,15.51,56.51
2015,102,46911.59,0,493.99,0,19.39,1.29,409.38,10.34,TRUE,2.185,18.1,56.51
2015,103,47083.68,1.33,419.82,0,17.21,4.21,580.65,10.71,TRUE,2.895,13,56.51
2015,104,47255.08,0,492.38,0,19.55,1.66,423.69,10.605,TRUE,3.5,17.89,56.51
2015,105,47425.77,0,475.08,0,18.61,2.43,464.28,10.52,TRUE,4.02,16.18,56.51
2015,106,47595.7,0,396.97,0,16.85,4.91,637.32,10.88,TRUE,4.9,11.94,56.51
2015,107,47764.84,0,510.31,0,24.25,4.3,457.43,14.275,TRUE,9.175,19.95,56.51
2015,108,47933.14,0,451.59,0,20.96,6.01,586,13.485,TRUE,12.66,14.95,56.51
2015,109,48100.55,8.65,336.35,0,19.74,4.9,674.58,12.32,TRUE,14.98,14.84,56.51
2015,110,48267.05,1.46,315.51,0,15,6.1,823.96,10.55,TRUE,15.53,8.9,56.51
2015,111,48432.59,0.69,177.94,0,8.35,3.76,799.28,6.055,FALSE,15.53,4.59,56.51
2015,112,48597.11,0.64,130.69,0,3.67,0.57,636.35,2.12,FALSE,15.53,3.1,56.51
2015,113,48760.58,0,262.15,0,5.02,-1.57,544.25,1.725,FALSE,15.53,6.59,56.51
2015,114,48922.96,0.49,516.69,0,13.56,-4.08,303.3,4.74,FALSE,15.53,17.64,56.51
2015,115,49084.18,0,456.62,0,12.53,-1.27,410.34,5.63,FALSE,15.53,13.8,56.51
2015,116,49244.22,0,493.62,0,14.67,-1.67,366.11,6.5,FALSE,15.53,16.34,56.51
2015,117,49403,0,404.48,0,12.2,0.6,503.67,6.4,FALSE,15.53,11.6,56.51
2015,118,49560.5,0,509.79,0,17.21,-0.25,378.23,8.48,FALSE,15.53,17.46,56.51
2015,119,49716.65,1.58,512.82,0,18.39,0.65,390.09,9.52,FALSE,15.53,17.74,56.51
2015,120,49871.4,0,461.27,0,16.32,1.92,477.01,9.12,FALSE,15.53,14.4,56.51
2015,121,50024.7,0,525.39,0,22.5,3.38,434.24,12.94,TRUE,18.47,19.12,56.51
2015,122,50176.49,0,515.44,0,23.72,5.46,484.36,14.59,TRUE,23.06,18.26,56.51
2015,123,50326.73,2.75,378.43,0,26.32,8.33,605.65,17.325,TRUE,30.385,17.99,56.51
2015,124,50475.35,2.45,278.7,0,24.21,13.12,1106.85,18.665,TRUE,39.05,11.09,56.51
2015,125,50622.29,12.32,92.63,0,13.42,10.4,1260.65,11.91,TRUE,40.96,3.02,56.51
2015,126,50767.51,0,464.7,0,23.69,9.43,669.1,16.56,TRUE,47.52,14.26,56.51
2015,127,50910.93,0,512.42,0,29.35,11.45,644.7,20.4,TRUE,57.92,17.9,56.51
2015,128,51052.51,5.22,336.53,0,28.64,13.94,1104.72,21.29,TRUE,69.21,14.7,56.51
2015,129,51192.17,1.99,288.31,0,23.43,15.37,1427,19.4,TRUE,78.61,8.06,56.51
2015,130,51329.87,14.2,175.45,0,19.58,13.23,1520.05,16.405,TRUE,85.015,6.35,56.51
2015,131,51465.53,6.68,312.22,0,22.46,10.19,1077.82,16.325,TRUE,91.34,12.27,56.51
2015,132,51599.1,0,169.85,0,12.11,8.02,1073.46,10.065,TRUE,91.405,4.09,56.51
2015,133,51730.51,0,392.61,0,13.92,3.64,685.43,8.78,FALSE,91.405,10.28,56.51
2015,134,51859.69,4.64,377.73,0,18.07,2.61,627.83,10.34,TRUE,91.745,15.46,56.51
2015,135,51986.6,4.71,380.76,0,22.93,6.65,805.21,14.79,TRUE,96.535,16.28,56.51
2015,136,52111.15,4.21,343.12,0,24.93,11.13,1143.92,18.03,TRUE,104.565,13.8,56.51
2015,137,52233.3,2.2,312.56,0,27.69,15.47,1575.34,21.58,TRUE,116.145,12.22,56.51
2015,138,52352.96,0,424.16,0,28.35,16.13,1417.66,22.24,TRUE,128.385,12.22,56.51
2015,139,52470.09,0,259.88,0,12.39,6.33,956.4,9.36,FALSE,128.385,6.06,56.51
2015,140,52584.6,0,491.81,0,15.22,1.41,545.92,8.315,FALSE,128.385,13.81,56.51
2015,141,52696.45,0,488.03,0,18.14,4.04,637.04,11.09,TRUE,129.475,14.1,56.51
2015,142,52805.56,0,453.06,0,19.27,6.44,772.83,12.855,TRUE,132.33,12.83,56.51
2015,143,52911.87,0,558.31,0,24.44,3.48,526.09,13.96,TRUE,136.29,20.96,56.51
2015,144,53015.32,0,496.15,0,24.29,8.53,803.52,16.41,TRUE,142.7,15.76,56.51
2015,145,53115.84,4.54,290.7,0,27.06,15.59,1637.59,21.325,TRUE,154.025,11.47,56.51
2015,146,53213.37,9.86,297.91,0,28.18,16.32,1706.77,22.25,TRUE,166.275,11.86,56.51
2015,147,53307.86,1.32,323.42,0,25.18,16.27,1714.17,20.725,TRUE,177,8.91,56.51
2015,148,53399.23,0,495.34,0,26.96,11.23,1000.84,19.095,TRUE,186.095,15.73,56.51
2015,149,53487.44,8.97,346.76,0,28.69,14.17,1438.87,21.43,TRUE,197.525,14.52,56.51
2015,150,53572.42,23.43,267.2,0,24.58,14.79,1681.55,19.685,TRUE,207.21,9.79,56.51
2015,151,53654.11,3.08,125.93,0,11.81,8.05,1076.13,9.93,FALSE,207.21,3.76,56.51
2015,152,53732.46,0,463.25,0,17.84,5.45,840.32,11.645,TRUE,208.855,12.39,56.51
2015,153,53807.42,0,552.22,0,22.26,3.9,663.73,13.08,TRUE,211.935,18.36,56.51
2015,154,53878.92,0,538.36,0,24.19,6.53,792.57,15.36,TRUE,217.295,17.66,56.51
2015,155,53946.93,0,503.94,0,26.82,10.74,1065.25,18.78,TRUE,226.075,16.08,56.51
2015,156,54011.4,0,337.26,0,22.6,13.79,1559.96,18.195,TRUE,234.27,8.81,56.51
2015,157,54072.26,0,448.83,0,22.88,10.43,1127.19,16.655,TRUE,240.925,12.45,56.51
2015,158,54129.49,8.15,370.22,0,25.74,10.49,1203.98,18.115,TRUE,249.04,15.25,56.51
2015,159,54183.04,0.75,436.64,0,27.06,14.44,1473.39,20.75,TRUE,259.79,12.62,56.51
2015,160,54232.86,0,424.45,0,25.17,13.12,1384.73,19.145,TRUE,268.935,12.05,56.51
2015,161,54278.93,0,467.6,0,29.46,14.85,1452.66,22.155,TRUE,281.09,14.61,56.51
2015,162,54321.2,18.37,260.41,0,23.22,13.79,1576.26,18.505,TRUE,289.595,9.43,56.51
2015,163,54359.64,3.2,222.16,0,21.06,13.37,1533.93,17.215,TRUE,296.81,7.69,56.51
2015,164,54394.22,46.06,252.76,0,22.48,13.62,1558.71,18.05,TRUE,304.86,8.86,56.51
2015,165,54424.92,18.91,290.29,0,26.41,15.61,1772.75,21.01,TRUE,315.87,10.8,56.51
2015,166,54451.71,1.68,296.3,0,27.12,19.22,2226.29,23.17,TRUE,329.04,7.9,56.51
2015,167,54474.58,0,317.29,0,25.75,17.47,1994.63,21.61,TRUE,340.65,8.28,56.51
2015,168,54493.49,13.09,298.13,0,24.2,13.59,1555.98,18.895,TRUE,349.545,10.61,56.51
2015,169,54508.44,4.68,271.72,0,26.11,16.36,1859.87,21.235,TRUE,360.78,9.75,56.51
2015,170,54519.41,0,340.05,0,21.94,13.41,1537.39,17.675,TRUE,368.455,8.53,56.51
2015,171,54526.41,0,489.64,0,26.23,11.29,1337.17,18.76,TRUE,377.215,14.94,56.51
2015,172,54529.41,0,433.35,0,27.98,15.47,1756.17,21.725,TRUE,388.94,12.51,56.51
2015,173,54528.42,64.82,319.56,0,27.72,15.78,1792.47,21.75,TRUE,400.69,11.94,56.51
2015,174,54523.44,0,313.59,0,24.96,17.23,1964.76,21.095,TRUE,411.785,7.73,56.51
2015,175,54514.47,0,493.72,0,26.29,11.52,1357.89,18.905,TRUE,420.69,14.77,56.51
2015,176,54501.52,0,361.89,0,23.38,14.41,1640.99,18.895,TRUE,429.585,8.97,56.51
2015,177,54484.61,8.1,292.14,0,24.13,14.19,1617.6,19.16,TRUE,438.745,9.94,56.51
2015,178,54463.74,9.04,197.3,0,18.99,13.1,1507.17,16.045,TRUE,444.79,5.89,56.51
2015,179,54438.93,0,464.61,0,24.66,12.09,1410.03,18.375,TRUE,453.165,12.57,56.51
2015,180,54410.19,0,426.73,0,24.65,13.59,1556.02,19.12,TRUE,462.285,11.06,56.51
2015,181,54377.57,7.56,268.17,0,23.11,14.38,1637.93,18.745,TRUE,471.03,8.73,56.51
2015,182,54341.07,0,324.62,0,21.37,13.8,1577.25,17.585,TRUE,478.615,7.57,56.51
2015,183,54300.72,0,427.55,0,22.49,11.87,1389.75,17.18,TRUE,485.795,10.62,56.51
2015,184,54256.57,0,515.11,0,24.18,9.19,1161.98,16.685,TRUE,492.48,14.99,56.51
2015,185,54208.64,0,522.69,0,26.49,10.37,1257.71,18.43,TRUE,500.91,16.12,56.51
2015,186,54156.96,0,505.81,0,28.08,12.5,1448.99,20.29,TRUE,511.2,15.58,56.51
2015,187,54101.59,6.79,367.79,0,28.68,13.84,1581.38,21.26,TRUE,522.46,14.84,56.51
2015,188,54042.55,17.68,244.64,0,22.79,15.21,1727.25,19,TRUE,531.46,7.58,56.51
2015,189,53979.89,0,372.25,0,19.08,10.62,1279.58,14.85,TRUE,536.31,8.46,56.51
2015,190,53913.67,0.9,432.72,0,23.67,12.83,1480.08,18.25,TRUE,544.56,10.84,56.51
2015,191,53843.92,0,492.39,0,26.51,12.43,1442.25,19.47,TRUE,554.03,14.08,56.51
2015,192,53770.69,0.92,480.23,0,26.91,13.28,1524.97,20.095,TRUE,564.125,13.63,56.51
2015,193,53694.05,0,413.05,0,27.3,16.45,1870.53,21.875,TRUE,576,10.85,56.51
2015,194,53614.03,11.5,315.53,0,27.41,16.18,1838.71,21.795,TRUE,587.795,11.23,56.51
2015,195,53530.71,6.8,226.32,0,24.63,17.5,1998.59,21.065,TRUE,598.86,7.13,56.51
2015,196,53444.12,0,409.76,0,22.76,12.59,1457.6,17.675,TRUE,606.535,10.17,56.51
2015,197,53354.34,13.14,360.19,0,24.36,10.87,1300.64,17.615,TRUE,614.15,13.49,56.51
2015,198,53261.41,0,498.5,0,30.46,14.16,1614.85,22.31,TRUE,626.46,16.3,56.51
2015,199,53165.41,5.32,278.99,0,29.55,19.44,2257.05,24.495,TRUE,640.955,10.11,56.51
2015,200,53066.39,0,372.45,0,29.25,19.12,2212.59,24.185,TRUE,655.14,10.13,56.51
2015,201,52964.41,0,452.05,0,28.24,15.15,1721.05,21.695,TRUE,666.835,13.09,56.51
2015,202,52859.53,0,391.19,0,25.91,15.7,1783.08,20.805,TRUE,677.64,10.21,56.51
2015,203,52751.83,0,454.63,0,25.47,12.78,1475.7,19.125,TRUE,686.765,12.69,56.51
2015,204,52641.35,0,497.96,0,28.58,12.47,1445.8,20.525,TRUE,697.29,16.11,56.51
2015,205,52528.17,0,472.23,0,29.83,14.99,1703.32,22.41,TRUE,709.7,14.84,56.51
2015,206,52412.36,0,420.51,0,29.99,17.57,2007.81,23.78,TRUE,723.48,12.42,56.51
2015,207,52293.97,0,449.21,0,30.04,16.13,1832.18,23.085,TRUE,736.565,13.91,56.51
2015,208,52173.07,0,462.51,0,31.26,16.02,1819.41,23.64,TRUE,750.205,15.24,56.51
2015,209,52049.72,0,460.69,0,31.73,16.34,1857.19,24.035,TRUE,764.24,15.39,56.51
2015,210,51923.99,0,401.01,0,30.8,18.5,2129.35,24.65,TRUE,778.89,12.3,56.51
2015,211,51795.95,0,405.62,0,29.14,16.86,1919.66,23,TRUE,791.89,12.28,56.51
2015,212,51665.65,0,404.81,0,29.33,16.9,1924.96,23.115,TRUE,805.005,12.43,56.51
2015,213,51533.16,0,429,0,28.03,14.67,1668.17,21.35,TRUE,816.355,13.36,56.51
2015,214,51398.55,19.31,357.89,0,32.34,15.02,1706.23,23.68,TRUE,830.035,17.32,56.51
2015,215,51261.87,6.79,265.52,0,26.25,16.16,1836.25,21.205,TRUE,841.24,10.09,56.51
2015,216,51123.19,0,411.58,0,26.25,14.05,1602.51,20.15,TRUE,851.39,12.2,56.51
2015,217,50982.57,0,427.91,0,25.07,12.36,1435.02,18.715,TRUE,860.105,12.71,56.51
2015,218,50840.07,0,403.29,0,25.43,13.57,1553.78,19.5,TRUE,869.605,11.86,56.51
2015,219,50695.75,0.64,423.22,0,25.73,12.8,1477.94,19.265,TRUE,878.87,12.93,56.51
2015,220,50549.67,0,301.25,0,23.05,14.87,1689.83,18.96,TRUE,887.83,8.18,56.51
2015,221,50401.89,2,348.11,0,27.84,17.66,2019.57,22.75,TRUE,900.58,10.18,56.51
2015,222,50252.47,56.11,216.1,0,25.79,17.88,2047.65,21.835,TRUE,912.415,7.91,56.51
2015,223,50101.45,0,344.27,0,26.06,16.34,1857.41,21.2,TRUE,923.615,9.72,56.51
2015,224,49948.9,5.12,299.4,0,24.61,13.01,1497.82,18.81,TRUE,932.425,11.6,56.51
2015,225,49794.88,0,439.11,0,28.55,14.15,1613.21,21.35,TRUE,943.775,14.4,56.51
2015,226,49639.43,3.16,297.71,0,29.51,16.86,1919.47,23.185,TRUE,956.96,12.65,56.51
2015,227,49482.61,0,417.62,0,30.19,16.35,1858.82,23.27,TRUE,970.23,13.84,56.51
2015,228,49324.46,0,400.12,0,30.82,17.72,2026.49,24.27,TRUE,984.5,13.1,56.51
2015,229,49165.05,0,341.46,0,30.51,19.86,2316.59,25.185,TRUE,999.685,10.65,56.51
2015,230,49004.42,0,340.29,0,28.53,18.19,2088.15,23.36,TRUE,1013.045,10.34,56.51
2015,231,48842.62,20.9,255.8,0,29.41,18.92,2185.78,24.165,TRUE,1027.21,10.49,56.51
2015,232,48679.7,2.36,180.2,0,21.64,15.22,1728.32,18.43,TRUE,1035.64,6.42,56.51
2015,233,48515.7,0,420.19,0,25.21,12.03,1404.15,18.62,TRUE,1044.26,13.18,56.51
2015,234,48350.67,0,422.41,0,26.72,13.15,1512.16,19.935,TRUE,1054.195,13.57,56.51
2015,235,48184.65,27.4,304.84,0,26.28,13.57,1553.43,19.925,TRUE,1064.12,12.71,56.51
2015,236,48017.69,0,316.7,0,21.62,12.95,1491.64,17.285,TRUE,1071.405,8.67,56.51
2015,237,47849.83,0,215.5,0,17.55,12.14,1414.84,14.845,TRUE,1076.25,5.41,56.51
2015,238,47681.11,0,264.77,0,19.19,12.48,1447.12,15.835,TRUE,1082.085,6.71,56.51
2015,239,47511.58,0,369.84,0,19.54,9.62,1196.34,14.58,TRUE,1086.665,9.92,56.51
2015,240,47341.27,0.96,460.46,0,24.32,9.05,1151.37,16.685,TRUE,1093.35,15.27,56.51
2015,241,47170.22,5.7,253.2,0,21.16,12.11,1412.13,16.635,TRUE,1099.985,9.05,56.51
2015,242,46998.47,0,337.39,0,26.02,16.46,1871.13,21.24,TRUE,1111.225,9.56,56.51
2015,243,46826.06,0,400.27,0,27.27,14.85,1688.11,21.06,TRUE,1122.285,12.42,56.51
2015,244,46653.02,1.2,426.46,0,30.91,16.02,1819.76,23.465,TRUE,1135.75,14.89,56.51
2015,245,46479.39,1.69,395.15,0,31.23,17.96,2057.66,24.595,TRUE,1150.345,13.27,56.51
2015,246,46305.2,15.73,227.18,0,28.14,19.36,2246.57,23.75,TRUE,1164.095,8.78,56.51
2015,247,46130.5,0,277.48,0,26.54,18.83,2173.78,22.685,TRUE,1176.78,7.71,56.51
